2025-12-12T21:29:19.547250500Z | DECRYPT_FILE | user=Tadiwa Mkwenje | Decrypted C:\SecureVaultTestFiles\Test3.txt.sv -> C:\SecureVaultTestFiles\decrypted_output (RSA-unwrapped key + AES-GCM)
2025-12-12T21:33:23.811220600Z | LOGIN_SUCCESS | user=Tadiwa Mkwenje | Password+TOTP verified
2025-12-12T21:34:08.380562600Z | ENCRYPT_FILE | user=Tadiwa Mkwenje | Encrypted C:\SecureVaultTestFiles\Test3.txt -> C:\SecureVaultTestFiles\Test3.txt.sv (AES-GCM + RSA-wrapped key)
2025-12-12T21:34:10.611436800Z | PLAINTEXT_DELETED | user=Tadiwa Mkwenje | Deleted original: C:\SecureVaultTestFiles\Test3.txt
2025-12-12T21:34:38.056035900Z | DECRYPT_FILE | user=Tadiwa Mkwenje | Decrypted C:\SecureVaultTestFiles\Test3.txt.sv -> C:\SecureVaultTestFiles\decrypted_output (RSA-unwrapped key + AES-GCM)
2025-12-12T21:36:35.263316500Z | LOGOUT | user=Tadiwa Mkwenje | User logged out
2025-12-12T21:44:26.458088800Z | LOGIN_SUCCESS | user=Tadiwa Mkwenje | Password+TOTP verified
2025-12-12T21:44:43.031499400Z | ENCRYPT_FILE | user=Tadiwa Mkwenje | Encrypted C:\SecureVaultTestFiles\Test4.txt -> C:\SecureVaultTestFiles\Test4.txt.sv (AES-GCM + RSA-wrapped key)
2025-12-12T21:44:44.153414500Z | PLAINTEXT_DELETED | user=Tadiwa Mkwenje | Deleted original: C:\SecureVaultTestFiles\Test4.txt
2025-12-12T21:45:09.714223300Z | DECRYPT_FILE | user=Tadiwa Mkwenje | Decrypted C:\SecureVaultTestFiles\Test4.txt.sv -> C:\SecureVaultTestFiles\Test4_decrypted.txt (RSA-unwrapped key + AES-GCM)
